Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.29089,0.001,0.05706
2,3.67168,0.002,0.13558
3,3.34589,0.002,0.18956
4,3.11491,0.002,0.23142
5,2.94762,0.002,0.26204
6,2.80611,0.002,0.2906
7,2.68287,0.002,0.31454
8,2.57446,0.002,0.3361
9,2.49126,0.002,0.3556
10,2.40645,0.002,0.3699
11,2.32313,0.002,0.38784
12,2.26225,0.002,0.40156
13,2.20376,0.002,0.4129
14,2.14462,0.002,0.427
15,2.09297,0.002,0.43768
16,2.0421,0.002,0.44872
17,1.99823,0.002,0.45686
18,1.95659,0.002,0.4659
19,1.91169,0.002,0.477
20,1.87029,0.002,0.4869
21,1.83488,0.002,0.49306
22,1.80048,0.002,0.50454
23,1.76134,0.002,0.51154
24,1.72739,0.002,0.5187
25,1.69946,0.002,0.527
26,1.65583,0.002,0.53792
27,1.63536,0.002,0.53966
28,1.6039,0.002,0.5495
29,1.5773,0.002,0.55712
30,1.54124,0.002,0.56502
31,1.51624,0.002,0.57082
32,1.48451,0.002,0.5764
33,1.46437,0.002,0.58146
34,1.43855,0.002,0.58936
35,1.40705,0.002,0.59478
36,1.39503,0.002,0.59836
37,1.37294,0.002,0.60422
38,1.34597,0.002,0.61106
39,1.31537,0.002,0.61982
40,1.29238,0.002,0.6221
41,1.27551,0.002,0.62714
42,1.24384,0.002,0.63832
43,1.22781,0.002,0.6391
44,1.21598,0.002,0.64404
45,1.19155,0.002,0.64734
46,1.17812,0.002,0.65536
47,1.15203,0.002,0.66156
48,1.13059,0.002,0.66492
49,1.10825,0.002,0.67188
50,1.10083,0.002,0.6745
51,1.06822,0.002,0.683
52,1.0713,0.002,0.68118
53,1.03387,0.002,0.69216
54,1.03364,0.002,0.69294
55,1.00795,0.002,0.69892
56,0.99186,0.002,0.70282
57,0.97354,0.002,0.70732
58,0.96337,0.002,0.70906
59,0.93397,0.002,0.71826
60,0.91667,0.002,0.72382
61,0.63738,0.0004,0.81386
62,0.53784,0.0004,0.84452
63,0.49132,0.0004,0.8599
64,0.46503,0.0004,0.86918
65,0.43701,0.0004,0.87784
66,0.4212,0.0004,0.8792
67,0.39974,0.0004,0.88746
68,0.38885,0.0004,0.8903
69,0.37999,0.0004,0.89158
70,0.36557,0.0004,0.89748
71,0.35367,0.0004,0.90018
72,0.34305,0.0004,0.90362
73,0.33515,0.0004,0.9061
74,0.32291,0.0004,0.90822
75,0.30615,0.0004,0.9154
76,0.30054,0.0004,0.91516
77,0.30113,0.0004,0.91506
78,0.29144,0.0004,0.91876
79,0.28385,0.0004,0.91854
80,0.28383,0.0004,0.91858
81,0.27254,0.0004,0.9233
82,0.26785,0.0004,0.92534
83,0.25978,0.0004,0.92826
84,0.25649,0.0004,0.92864
85,0.24774,0.0004,0.93148
86,0.24782,0.0004,0.93026
87,0.24237,0.0004,0.93366
88,0.23678,0.0004,0.93544
89,0.23287,0.0004,0.93762
90,0.22682,0.0004,0.93634
91,0.22512,0.0004,0.93794
92,0.22519,0.0004,0.93818
93,0.22067,0.0004,0.93842
94,0.21452,0.0004,0.94206
95,0.21036,0.0004,0.94268
96,0.20659,0.0004,0.94338
97,0.20743,0.0004,0.94338
98,0.20527,0.0004,0.94286
99,0.20179,0.0004,0.94476
100,0.20192,0.0004,0.94428
101,0.19467,0.0004,0.94758
102,0.19487,0.0004,0.94614
103,0.19119,0.0004,0.94784
104,0.18638,0.0004,0.94848
105,0.18765,0.0004,0.9489
106,0.18146,0.0004,0.95052
107,0.18072,0.0004,0.95032
108,0.178,0.0004,0.9522
109,0.16967,0.0004,0.95312
110,0.17284,0.0004,0.9533
111,0.17238,0.0004,0.95322
112,0.17089,0.0004,0.95362
113,0.17164,0.0004,0.95428
114,0.16774,0.0004,0.95398
115,0.15708,0.0004,0.95794
116,0.16461,0.0004,0.95436
117,0.1627,0.0004,0.95658
118,0.1615,0.0004,0.95668
119,0.16233,0.0004,0.956
120,0.15936,0.0004,0.95618
121,0.1282,8e-05,0.9664
122,0.11329,8e-05,0.97198
123,0.10495,8e-05,0.97488
124,0.10524,8e-05,0.97452
125,0.10385,8e-05,0.9748
126,0.09797,8e-05,0.97732
127,0.09692,8e-05,0.97742
128,0.09577,8e-05,0.97786
129,0.09353,8e-05,0.9782
130,0.09178,8e-05,0.9788
131,0.08901,8e-05,0.97882
132,0.08772,8e-05,0.97978
133,0.08667,8e-05,0.98072
134,0.0871,8e-05,0.98058
135,0.08649,8e-05,0.98042
136,0.08502,8e-05,0.98094
137,0.08552,8e-05,0.9805
138,0.08372,8e-05,0.9815
139,0.08354,8e-05,0.98152
140,0.0846,8e-05,0.98084
141,0.07818,8e-05,0.98326
142,0.08147,8e-05,0.9804
143,0.07899,8e-05,0.9823
144,0.07757,8e-05,0.98356
145,0.07793,8e-05,0.98256
146,0.0777,8e-05,0.98272
147,0.07748,8e-05,0.98298
148,0.07932,8e-05,0.98238
149,0.0773,8e-05,0.98292
150,0.07495,8e-05,0.98348
