Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.57336,0.01,0.04628
2,4.10708,0.02,0.08826
3,3.89053,0.02,0.10734
4,3.55495,0.02,0.1551
5,3.34514,0.02,0.18838
6,3.24404,0.02,0.20838
7,3.08055,0.02,0.23886
8,3.1035,0.02,0.23264
9,2.95614,0.02,0.26032
10,2.90184,0.02,0.26942
11,2.75583,0.02,0.29766
12,2.67192,0.02,0.31604
13,2.56267,0.02,0.3363
14,2.52106,0.02,0.3453
15,2.44568,0.02,0.35968
16,2.36613,0.02,0.37688
17,2.31415,0.02,0.38866
18,2.25055,0.02,0.4011
19,2.25331,0.02,0.39908
20,2.18448,0.02,0.41646
21,2.14865,0.02,0.42612
22,2.16569,0.02,0.42112
23,2.09855,0.02,0.43756
24,2.06812,0.02,0.44136
25,1.99955,0.02,0.45518
26,1.9655,0.02,0.46526
27,1.92727,0.02,0.4769
28,1.89247,0.02,0.48054
29,1.87072,0.02,0.48644
30,1.82969,0.02,0.49542
31,1.80917,0.02,0.49988
32,1.77527,0.02,0.50784
33,1.74513,0.02,0.51396
34,1.72446,0.02,0.51996
35,1.69667,0.02,0.52582
36,1.6779,0.02,0.53114
37,1.64879,0.02,0.53872
38,1.62577,0.02,0.5443
39,1.60718,0.02,0.5447
40,1.58155,0.02,0.55328
41,1.56945,0.02,0.5564
42,1.54,0.02,0.56238
43,1.53091,0.02,0.56358
44,1.50674,0.02,0.56772
45,1.49354,0.02,0.5708
46,1.4654,0.02,0.58154
47,1.4564,0.02,0.5812
48,1.42956,0.02,0.58786
49,1.41701,0.02,0.59202
50,1.39591,0.02,0.59876
51,1.37388,0.02,0.6017
52,1.37145,0.02,0.60174
53,1.34792,0.02,0.61154
54,1.32902,0.02,0.61422
55,1.31859,0.02,0.61874
56,1.30894,0.02,0.61974
57,1.29446,0.02,0.62106
58,1.27945,0.02,0.62796
59,1.26528,0.02,0.62976
60,1.25181,0.02,0.63356
61,0.73917,0.004,0.7872
62,0.54479,0.004,0.84286
63,0.45783,0.004,0.86632
64,0.39647,0.004,0.88594
65,0.34742,0.004,0.89916
66,0.31258,0.004,0.9091
67,0.28408,0.004,0.9184
68,0.26754,0.004,0.92224
69,0.25353,0.004,0.92642
70,0.23925,0.004,0.93056
71,0.22765,0.004,0.93356
72,0.22265,0.004,0.93458
73,0.22526,0.004,0.93346
74,0.22434,0.004,0.93394
75,0.20787,0.004,0.93852
76,0.20559,0.004,0.93932
77,0.2062,0.004,0.93766
78,0.2185,0.004,0.93452
79,0.21927,0.004,0.9344
80,0.21455,0.004,0.93602
81,0.21404,0.004,0.93618
82,0.21709,0.004,0.93364
83,0.21936,0.004,0.9351
84,0.22815,0.004,0.93092
85,0.21539,0.004,0.9355
86,0.21751,0.004,0.93596
87,0.21901,0.004,0.93422
88,0.23297,0.004,0.92968
89,0.23974,0.004,0.92642
90,0.24192,0.004,0.92722
91,0.23842,0.004,0.92826
92,0.2516,0.004,0.92262
93,0.23807,0.004,0.928
94,0.24381,0.004,0.9245
95,0.22687,0.004,0.9318
96,0.24671,0.004,0.92454
97,0.2464,0.004,0.9257
98,0.23743,0.004,0.92796
99,0.23609,0.004,0.92886
100,0.2371,0.004,0.9292
101,0.23487,0.004,0.92836
102,0.24834,0.004,0.92366
103,0.25031,0.004,0.9236
104,0.23792,0.004,0.92782
105,0.23725,0.004,0.9285
106,0.24634,0.004,0.9257
107,0.24817,0.004,0.92342
108,0.2346,0.004,0.92844
109,0.2442,0.004,0.92622
110,0.24062,0.004,0.92762
111,0.25766,0.004,0.92148
112,0.25174,0.004,0.924
113,0.23948,0.004,0.92678
114,0.24278,0.004,0.92588
115,0.23689,0.004,0.9287
116,0.24273,0.004,0.92622
117,0.25927,0.004,0.92122
118,0.24456,0.004,0.92562
119,0.23426,0.004,0.92854
120,0.24352,0.004,0.92626
121,0.10154,0.0008,0.97218
122,0.05727,0.0008,0.9861
123,0.04373,0.0008,0.99014
124,0.03662,0.0008,0.99218
125,0.03131,0.0008,0.99308
126,0.02969,0.0008,0.99434
127,0.02745,0.0008,0.99408
128,0.02461,0.0008,0.9953
129,0.0215,0.0008,0.99596
130,0.02181,0.0008,0.99546
131,0.02089,0.0008,0.99544
132,0.01945,0.0008,0.9961
133,0.01755,0.0008,0.99634
134,0.0167,0.0008,0.99668
135,0.01747,0.0008,0.99656
136,0.01639,0.0008,0.99692
137,0.01513,0.0008,0.9971
138,0.01474,0.0008,0.99712
139,0.01475,0.0008,0.9975
140,0.01492,0.0008,0.99724
141,0.01398,0.0008,0.9974
142,0.01407,0.0008,0.99748
143,0.01339,0.0008,0.99724
144,0.01339,0.0008,0.9975
145,0.0133,0.0008,0.99744
146,0.01347,0.0008,0.99738
147,0.01265,0.0008,0.99756
148,0.01256,0.0008,0.99738
149,0.01178,0.0008,0.998
150,0.01172,0.0008,0.99784
