Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,5.03382,0.1,0.03536
2,4.05182,0.2,0.07052
3,3.83315,0.2,0.10252
4,3.71985,0.2,0.12148
5,3.63651,0.2,0.13692
6,3.59238,0.2,0.14524
7,3.55475,0.2,0.14764
8,3.53106,0.2,0.1519
9,3.5049,0.2,0.15914
10,3.48677,0.2,0.16086
11,3.45699,0.2,0.16796
12,3.4466,0.2,0.17042
13,3.44503,0.2,0.171
14,3.43052,0.2,0.17344
15,3.42825,0.2,0.1736
16,3.41546,0.2,0.17594
17,3.41951,0.2,0.17518
18,3.40713,0.2,0.17798
19,3.40687,0.2,0.17594
20,3.40261,0.2,0.1812
21,3.39424,0.2,0.18086
22,3.40444,0.2,0.1768
23,3.39517,0.2,0.17994
24,3.38819,0.2,0.1819
25,3.39798,0.2,0.17888
26,3.39613,0.2,0.17868
27,3.387,0.2,0.18012
28,3.3861,0.2,0.18124
29,3.39186,0.2,0.18054
30,3.37315,0.2,0.1823
31,3.39157,0.2,0.17804
32,3.37896,0.2,0.17848
33,3.38043,0.2,0.18236
34,3.38335,0.2,0.1822
35,3.3806,0.2,0.18122
36,3.39501,0.2,0.17748
37,3.38209,0.2,0.18122
38,3.38596,0.2,0.18018
39,3.38115,0.2,0.18026
40,3.39149,0.2,0.18044
41,3.37871,0.2,0.18132
42,3.38736,0.2,0.18264
43,3.38152,0.2,0.18072
44,3.39643,0.2,0.18036
45,3.38676,0.2,0.18078
46,3.39503,0.2,0.17644
47,3.39966,0.2,0.17858
48,3.39906,0.2,0.17742
49,3.38856,0.2,0.17836
50,3.39249,0.2,0.17906
51,3.38824,0.2,0.17948
52,3.39796,0.2,0.17564
53,3.39647,0.2,0.179
54,3.39484,0.2,0.17924
55,3.40036,0.2,0.17986
56,3.4071,0.2,0.17668
57,3.40066,0.2,0.17864
58,3.39685,0.2,0.18098
59,3.40371,0.2,0.17762
60,3.40548,0.2,0.17684
61,2.86741,0.04,0.27528
62,2.74679,0.04,0.29806
63,2.70666,0.04,0.3042
64,2.69503,0.04,0.30812
65,2.66316,0.04,0.31846
66,2.64991,0.04,0.3191
67,2.6259,0.04,0.3247
68,2.60539,0.04,0.32896
69,2.58674,0.04,0.33048
70,2.5627,0.04,0.33816
71,2.54876,0.04,0.33898
72,2.53907,0.04,0.3404
73,2.52241,0.04,0.34616
74,2.50249,0.04,0.34916
75,2.49647,0.04,0.35036
76,2.47215,0.04,0.35766
77,2.46017,0.04,0.3602
78,2.45649,0.04,0.35964
79,2.43337,0.04,0.36588
80,2.42536,0.04,0.36742
81,2.40108,0.04,0.3736
82,2.39844,0.04,0.37438
83,2.38637,0.04,0.37418
84,2.36735,0.04,0.3805
85,2.35581,0.04,0.38328
86,2.34348,0.04,0.38182
87,2.33346,0.04,0.38776
88,2.32485,0.04,0.3877
89,2.31019,0.04,0.394
90,2.31493,0.04,0.39202
91,2.29322,0.04,0.39468
92,2.29119,0.04,0.39412
93,2.27532,0.04,0.40046
94,2.2667,0.04,0.40166
95,2.2588,0.04,0.40504
96,2.26097,0.04,0.40514
97,2.24665,0.04,0.40752
98,2.24759,0.04,0.40358
99,2.24229,0.04,0.40616
100,2.22916,0.04,0.41048
101,2.22452,0.04,0.41046
102,2.22462,0.04,0.41202
103,2.21954,0.04,0.4129
104,2.20787,0.04,0.41498
105,2.20091,0.04,0.4154
106,2.20058,0.04,0.41532
107,2.19923,0.04,0.41666
108,2.19627,0.04,0.41478
109,2.18414,0.04,0.41986
110,2.18825,0.04,0.4206
111,2.18374,0.04,0.41934
112,2.17255,0.04,0.42272
113,2.17871,0.04,0.42192
114,2.16912,0.04,0.42514
115,2.15966,0.04,0.4257
116,2.16106,0.04,0.42726
117,2.15717,0.04,0.4255
118,2.15575,0.04,0.42696
119,2.15245,0.04,0.42782
120,2.14986,0.04,0.42706
121,1.71131,0.008,0.52964
122,1.57479,0.008,0.55944
123,1.51918,0.008,0.57478
124,1.47529,0.008,0.58354
125,1.46336,0.008,0.5858
126,1.4349,0.008,0.5926
127,1.41844,0.008,0.59806
128,1.40841,0.008,0.59954
129,1.38981,0.008,0.604
130,1.38898,0.008,0.60668
131,1.37766,0.008,0.60514
132,1.36321,0.008,0.61062
133,1.35604,0.008,0.61134
134,1.34714,0.008,0.6103
135,1.33104,0.008,0.61834
136,1.33596,0.008,0.61764
137,1.32953,0.008,0.61616
138,1.32037,0.008,0.61766
139,1.30267,0.008,0.62368
140,1.30476,0.008,0.62152
141,1.27892,0.008,0.63024
142,1.26428,0.008,0.63452
143,1.26833,0.008,0.634
144,1.24871,0.008,0.63732
145,1.25722,0.008,0.63472
146,1.22935,0.008,0.64468
147,1.22385,0.008,0.64378
148,1.22419,0.008,0.6423
149,1.20563,0.008,0.64854
150,1.19001,0.008,0.65116
