Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.40745,0.001,0.04786
2,3.71366,0.002,0.13104
3,3.38245,0.002,0.18634
4,3.14626,0.002,0.22496
5,2.96341,0.002,0.26094
6,2.82494,0.002,0.2883
7,2.71485,0.002,0.30952
8,2.61509,0.002,0.32872
9,2.52458,0.002,0.34728
10,2.44407,0.002,0.36346
11,2.36842,0.002,0.38152
12,2.30316,0.002,0.39338
13,2.22903,0.002,0.40902
14,2.18013,0.002,0.42062
15,2.12004,0.002,0.43468
16,2.07098,0.002,0.44462
17,2.01384,0.002,0.45722
18,1.97231,0.002,0.46678
19,1.92213,0.002,0.47482
20,1.87847,0.002,0.4855
21,1.82714,0.002,0.49778
22,1.79084,0.002,0.50794
23,1.7478,0.002,0.51568
24,1.70125,0.002,0.52674
25,1.66123,0.002,0.53534
26,1.628,0.002,0.54342
27,1.58694,0.002,0.55154
28,1.54989,0.002,0.55978
29,1.52012,0.002,0.57176
30,1.48206,0.002,0.57668
31,1.45126,0.002,0.58666
32,1.41772,0.002,0.59308
33,1.37835,0.002,0.6062
34,1.35551,0.002,0.60964
35,1.31535,0.002,0.62034
36,1.28662,0.002,0.62714
37,1.25694,0.002,0.63492
38,1.22134,0.002,0.6414
39,1.18843,0.002,0.65268
40,1.16076,0.002,0.6592
41,1.12629,0.002,0.66686
42,1.11413,0.002,0.67128
43,1.07581,0.002,0.67934
44,1.04899,0.002,0.68708
45,1.02029,0.002,0.6975
46,0.98672,0.002,0.70628
47,0.96578,0.002,0.7129
48,0.92447,0.002,0.7253
49,0.91506,0.002,0.7253
50,0.89339,0.002,0.73008
51,0.85781,0.002,0.7434
52,0.84038,0.002,0.74462
53,0.81912,0.002,0.75074
54,0.79652,0.002,0.7569
55,0.76251,0.002,0.77022
56,0.74737,0.002,0.77118
57,0.72812,0.002,0.77772
58,0.71069,0.002,0.78098
59,0.68027,0.002,0.79356
60,0.67559,0.002,0.79306
61,0.42595,0.0004,0.87896
62,0.34838,0.0004,0.9063
63,0.31923,0.0004,0.91592
64,0.29207,0.0004,0.92508
65,0.28046,0.0004,0.9275
66,0.27237,0.0004,0.93038
67,0.25727,0.0004,0.9339
68,0.24995,0.0004,0.93722
69,0.24012,0.0004,0.93892
70,0.23454,0.0004,0.94134
71,0.22448,0.0004,0.94414
72,0.21656,0.0004,0.9471
73,0.21209,0.0004,0.94844
74,0.20745,0.0004,0.94996
75,0.20374,0.0004,0.94894
76,0.20152,0.0004,0.95032
77,0.1946,0.0004,0.95218
78,0.19032,0.0004,0.95404
79,0.18457,0.0004,0.95568
80,0.18095,0.0004,0.95624
81,0.17675,0.0004,0.95802
82,0.17161,0.0004,0.95926
83,0.16823,0.0004,0.96062
84,0.16624,0.0004,0.96068
85,0.16185,0.0004,0.96176
86,0.16163,0.0004,0.96176
87,0.16074,0.0004,0.9612
88,0.15427,0.0004,0.9646
89,0.15396,0.0004,0.96346
90,0.15174,0.0004,0.96382
91,0.14914,0.0004,0.9651
92,0.144,0.0004,0.9674
93,0.14529,0.0004,0.96492
94,0.14423,0.0004,0.96612
95,0.13877,0.0004,0.96736
96,0.13818,0.0004,0.96846
97,0.1356,0.0004,0.9687
98,0.13159,0.0004,0.9698
99,0.13537,0.0004,0.9677
100,0.1289,0.0004,0.97008
101,0.12892,0.0004,0.97002
102,0.12357,0.0004,0.97272
103,0.12518,0.0004,0.97192
104,0.12154,0.0004,0.97278
105,0.12114,0.0004,0.9728
106,0.11713,0.0004,0.97328
107,0.11902,0.0004,0.97274
108,0.11685,0.0004,0.9733
109,0.11368,0.0004,0.9752
110,0.11283,0.0004,0.97402
111,0.11504,0.0004,0.97366
112,0.10814,0.0004,0.97618
113,0.10801,0.0004,0.97596
114,0.10974,0.0004,0.9747
115,0.10781,0.0004,0.97606
116,0.10317,0.0004,0.97706
117,0.10654,0.0004,0.9765
118,0.10092,0.0004,0.97802
119,0.1032,0.0004,0.9775
120,0.10413,0.0004,0.97638
121,0.08944,8e-05,0.98086
122,0.08573,8e-05,0.9825
123,0.08324,8e-05,0.98336
124,0.07937,8e-05,0.98458
125,0.08196,8e-05,0.98386
126,0.07958,8e-05,0.98468
127,0.07712,8e-05,0.9856
128,0.07737,8e-05,0.98484
129,0.07513,8e-05,0.98602
130,0.07574,8e-05,0.98578
131,0.07478,8e-05,0.9849
132,0.07411,8e-05,0.98592
133,0.07505,8e-05,0.98546
134,0.07355,8e-05,0.98598
135,0.07199,8e-05,0.9866
136,0.07253,8e-05,0.98596
137,0.07172,8e-05,0.98684
138,0.07427,8e-05,0.98588
139,0.07142,8e-05,0.98676
140,0.07271,8e-05,0.9861
141,0.07268,8e-05,0.98602
142,0.07189,8e-05,0.98634
143,0.06914,8e-05,0.98706
144,0.07001,8e-05,0.98698
145,0.06931,8e-05,0.98662
146,0.07065,8e-05,0.98632
147,0.06932,8e-05,0.98676
148,0.06702,8e-05,0.9885
149,0.06783,8e-05,0.9877
150,0.06868,8e-05,0.9872
