Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.14031,0.1,0.07244
2,3.84348,0.2,0.10444
3,3.90654,0.2,0.09764
4,3.91896,0.2,0.09582
5,3.91665,0.2,0.09448
6,3.93079,0.2,0.09168
7,3.92822,0.2,0.0912
8,3.9704,0.2,0.08526
9,4.01556,0.2,0.0722
10,3.9971,0.2,0.07516
11,4.00969,0.2,0.07456
12,4.00627,0.2,0.07428
13,4.00058,0.2,0.0744
14,4.00374,0.2,0.07418
15,4.01988,0.2,0.07342
16,4.02176,0.2,0.07218
17,4.01002,0.2,0.07466
18,4.01074,0.2,0.07508
19,4.0395,0.2,0.06716
20,4.04356,0.2,0.07052
21,4.04241,0.2,0.06772
22,4.04481,0.2,0.0679
23,4.0364,0.2,0.07016
24,4.04145,0.2,0.06732
25,4.08315,0.2,0.06302
26,4.08178,0.2,0.06326
27,4.088,0.2,0.06408
28,4.07584,0.2,0.06408
29,4.1271,0.2,0.05474
30,4.14902,0.2,0.0523
31,4.13897,0.2,0.0538
32,4.1476,0.2,0.0534
33,4.13932,0.2,0.05276
34,4.15213,0.2,0.052
35,4.15705,0.2,0.0502
36,4.14269,0.2,0.0529
37,4.14631,0.2,0.05112
38,4.15498,0.2,0.05096
39,4.16119,0.2,0.05104
40,4.14488,0.2,0.053
41,4.14467,0.2,0.0536
42,4.15523,0.2,0.05194
43,4.15784,0.2,0.05104
44,4.15361,0.2,0.05178
45,4.15032,0.2,0.05246
46,4.14987,0.2,0.0513
47,4.1523,0.2,0.05142
48,4.15693,0.2,0.05122
49,4.15338,0.2,0.05196
50,4.15006,0.2,0.0518
51,4.15167,0.2,0.05186
52,4.15901,0.2,0.05208
53,4.15788,0.2,0.05066
54,4.14718,0.2,0.05304
55,4.15434,0.2,0.05256
56,4.14852,0.2,0.05262
57,4.14923,0.2,0.05236
58,4.15088,0.2,0.05338
59,4.15363,0.2,0.05182
60,4.15396,0.2,0.05116
61,3.88795,0.04,0.08136
62,3.84885,0.04,0.08498
63,3.83175,0.04,0.08744
64,3.80574,0.04,0.09156
65,3.78427,0.04,0.09588
66,3.76648,0.04,0.09558
67,3.75048,0.04,0.09998
68,3.7393,0.04,0.09988
69,3.72466,0.04,0.10378
70,3.70614,0.04,0.10894
71,3.69396,0.04,0.109
72,3.69243,0.04,0.11036
73,3.67869,0.04,0.11278
74,3.67122,0.04,0.11128
75,3.66967,0.04,0.11186
76,3.65956,0.04,0.11562
77,3.65985,0.04,0.11416
78,3.65322,0.04,0.11658
79,3.63852,0.04,0.11884
80,3.63295,0.04,0.12076
81,3.63612,0.04,0.11902
82,3.62499,0.04,0.12242
83,3.6171,0.04,0.12166
84,3.61621,0.04,0.124
85,3.61685,0.04,0.12336
86,3.61501,0.04,0.1248
87,3.6112,0.04,0.12278
88,3.60712,0.04,0.12428
89,3.60249,0.04,0.12792
90,3.59811,0.04,0.1287
91,3.60106,0.04,0.1269
92,3.60222,0.04,0.12748
93,3.59695,0.04,0.12958
94,3.58778,0.04,0.1296
95,3.59576,0.04,0.13354
96,3.58991,0.04,0.13002
97,3.59258,0.04,0.1295
98,3.59783,0.04,0.12958
99,3.59701,0.04,0.12714
100,3.59376,0.04,0.1311
