Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.29626,0.001,0.0602
2,3.64487,0.002,0.13992
3,3.33981,0.002,0.1922
4,3.10208,0.002,0.23436
5,2.93639,0.002,0.264
6,2.80369,0.002,0.29048
7,2.67698,0.002,0.3165
8,2.5706,0.002,0.33752
9,2.47669,0.002,0.3593
10,2.40661,0.002,0.3707
11,2.33466,0.002,0.38614
12,2.2639,0.002,0.40276
13,2.20201,0.002,0.4145
14,2.15004,0.002,0.42574
15,2.09677,0.002,0.43842
16,2.05258,0.002,0.44674
17,2.01,0.002,0.45646
18,1.96629,0.002,0.46314
19,1.92284,0.002,0.4753
20,1.8757,0.002,0.48586
21,1.84271,0.002,0.49666
22,1.80475,0.002,0.5019
23,1.76702,0.002,0.51198
24,1.73712,0.002,0.51926
25,1.70386,0.002,0.52516
26,1.66358,0.002,0.53454
27,1.63702,0.002,0.54246
28,1.60804,0.002,0.54964
29,1.57701,0.002,0.55728
30,1.55326,0.002,0.56174
31,1.52101,0.002,0.56752
32,1.50127,0.002,0.57396
33,1.47425,0.002,0.57764
34,1.43926,0.002,0.5884
35,1.42174,0.002,0.5957
36,1.39966,0.002,0.60066
37,1.36332,0.002,0.6075
38,1.35296,0.002,0.61092
39,1.32362,0.002,0.61718
40,1.30287,0.002,0.62092
41,1.27689,0.002,0.62892
42,1.25601,0.002,0.63368
43,1.23265,0.002,0.6409
44,1.22022,0.002,0.64178
45,1.19713,0.002,0.6466
46,1.16655,0.002,0.65698
47,1.14632,0.002,0.66264
48,1.13223,0.002,0.66402
49,1.1216,0.002,0.66834
50,1.10674,0.002,0.67244
51,1.07403,0.002,0.6834
52,1.05755,0.002,0.685
53,1.04363,0.002,0.6913
54,1.01766,0.002,0.69688
55,0.99704,0.002,0.69936
56,0.99482,0.002,0.70166
57,0.97003,0.002,0.70896
58,0.94419,0.002,0.71846
59,0.94928,0.002,0.71604
60,0.92611,0.002,0.72186
61,0.6261,0.0004,0.81642
62,0.53186,0.0004,0.84808
63,0.48651,0.0004,0.86096
64,0.45768,0.0004,0.87002
65,0.43203,0.0004,0.87812
66,0.41697,0.0004,0.88214
67,0.39412,0.0004,0.8887
68,0.38256,0.0004,0.89108
69,0.36994,0.0004,0.89624
70,0.35428,0.0004,0.90066
71,0.34491,0.0004,0.90326
72,0.33152,0.0004,0.90636
73,0.32515,0.0004,0.90872
74,0.31377,0.0004,0.9137
75,0.30614,0.0004,0.91376
76,0.30368,0.0004,0.91452
77,0.29454,0.0004,0.91774
78,0.28509,0.0004,0.92114
79,0.28415,0.0004,0.92116
80,0.27301,0.0004,0.92386
81,0.26331,0.0004,0.9275
82,0.26079,0.0004,0.92792
83,0.25893,0.0004,0.92904
84,0.24743,0.0004,0.93172
85,0.24529,0.0004,0.9319
86,0.24505,0.0004,0.93214
87,0.23545,0.0004,0.93562
88,0.23111,0.0004,0.93576
89,0.23036,0.0004,0.93706
90,0.22485,0.0004,0.93802
91,0.21568,0.0004,0.9413
92,0.21613,0.0004,0.94044
93,0.21601,0.0004,0.9406
94,0.21126,0.0004,0.9421
95,0.20623,0.0004,0.94306
96,0.20299,0.0004,0.9453
97,0.20026,0.0004,0.94508
98,0.20081,0.0004,0.94486
99,0.20161,0.0004,0.94488
100,0.19738,0.0004,0.94578
