Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.0883,0.01,0.08288
2,3.54706,0.02,0.15792
3,3.22163,0.02,0.20912
4,2.98457,0.02,0.25442
5,2.82464,0.02,0.28194
6,2.70519,0.02,0.30866
7,2.60812,0.02,0.3275
8,2.53231,0.02,0.34454
9,2.47853,0.02,0.35296
10,2.43108,0.02,0.36482
11,2.38954,0.02,0.37348
12,2.35949,0.02,0.38186
13,2.32314,0.02,0.38572
14,2.28968,0.02,0.39594
15,2.27545,0.02,0.39732
16,2.24795,0.02,0.40654
17,2.225,0.02,0.40908
18,2.21035,0.02,0.41246
19,2.18979,0.02,0.41624
20,2.18367,0.02,0.42042
21,2.16556,0.02,0.42284
22,2.1516,0.02,0.42884
23,2.14465,0.02,0.42572
24,2.12421,0.02,0.43292
25,2.11318,0.02,0.43436
26,2.11931,0.02,0.435
27,2.09606,0.02,0.44172
28,2.09002,0.02,0.44214
29,2.07346,0.02,0.44434
30,2.06437,0.02,0.4459
31,2.05881,0.02,0.44742
32,2.05743,0.02,0.44892
33,2.05128,0.02,0.4507
34,2.04268,0.02,0.45116
35,2.03474,0.02,0.4525
36,2.02063,0.02,0.45734
37,2.02915,0.02,0.45322
38,2.01623,0.02,0.45742
39,2.01297,0.02,0.45572
40,2.01235,0.02,0.45864
41,2.00164,0.02,0.46088
42,2.01184,0.02,0.45624
43,1.99633,0.02,0.46198
44,1.99177,0.02,0.46474
45,1.98367,0.02,0.46518
46,1.98559,0.02,0.46506
47,1.98235,0.02,0.46232
48,1.97398,0.02,0.4683
49,1.97126,0.02,0.4659
50,1.9719,0.02,0.46696
51,1.97028,0.02,0.47054
52,1.95866,0.02,0.47262
53,1.95898,0.02,0.47122
54,1.9582,0.02,0.46968
55,1.95461,0.02,0.47612
56,1.95752,0.02,0.47162
57,1.95519,0.02,0.47074
58,1.95126,0.02,0.47212
59,1.95083,0.02,0.473
60,1.94359,0.02,0.47628
61,1.49905,0.004,0.57954
62,1.37406,0.004,0.61072
63,1.31673,0.004,0.62616
64,1.28214,0.004,0.63698
65,1.25312,0.004,0.64036
66,1.22699,0.004,0.64486
67,1.20716,0.004,0.65264
68,1.1922,0.004,0.65448
69,1.18341,0.004,0.65544
70,1.17992,0.004,0.65778
71,1.16147,0.004,0.66208
72,1.15047,0.004,0.66276
73,1.14575,0.004,0.66612
74,1.1416,0.004,0.66544
75,1.12787,0.004,0.66842
76,1.12816,0.004,0.66762
77,1.12027,0.004,0.66952
78,1.11206,0.004,0.67242
79,1.09861,0.004,0.67568
80,1.10356,0.004,0.67554
81,1.08962,0.004,0.67828
82,1.08225,0.004,0.68106
83,1.06506,0.004,0.68456
84,1.06336,0.004,0.68478
85,1.05375,0.004,0.68934
86,1.03878,0.004,0.69112
87,1.03714,0.004,0.69376
88,1.03167,0.004,0.69194
89,1.02111,0.004,0.69598
90,1.01467,0.004,0.69454
91,0.99179,0.004,0.70468
92,0.99916,0.004,0.7025
93,0.98564,0.004,0.70594
94,0.97399,0.004,0.70766
95,0.96695,0.004,0.708
96,0.95394,0.004,0.71102
97,0.9453,0.004,0.71746
98,0.94718,0.004,0.71604
99,0.93753,0.004,0.71686
100,0.93549,0.004,0.71748
