Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.56079,0.01,0.04766
2,4.15585,0.02,0.08544
3,3.85165,0.02,0.1142
4,3.60305,0.02,0.14802
5,3.35764,0.02,0.18658
6,3.18413,0.02,0.21848
7,3.06652,0.02,0.2399
8,3.03138,0.02,0.2467
9,2.89474,0.02,0.27126
10,2.76818,0.02,0.29544
11,2.67482,0.02,0.31322
12,2.68049,0.02,0.3136
13,2.56523,0.02,0.33716
14,2.46354,0.02,0.35966
15,2.47978,0.02,0.35488
16,2.38989,0.02,0.37332
17,2.3572,0.02,0.38168
18,2.26461,0.02,0.39794
19,2.2263,0.02,0.4092
20,2.16004,0.02,0.42298
21,2.13305,0.02,0.4268
22,2.0727,0.02,0.44156
23,2.0418,0.02,0.44822
24,2.00994,0.02,0.45564
25,1.96653,0.02,0.46654
26,1.94799,0.02,0.46688
27,1.91451,0.02,0.4792
28,1.89374,0.02,0.47978
29,1.8408,0.02,0.49256
30,1.81311,0.02,0.50118
31,1.78123,0.02,0.503
32,1.75538,0.02,0.51248
33,1.72744,0.02,0.51898
34,1.7013,0.02,0.52224
35,1.67097,0.02,0.5335
36,1.65484,0.02,0.53378
37,1.63033,0.02,0.54348
38,1.61006,0.02,0.54512
39,1.58413,0.02,0.55158
40,1.56849,0.02,0.55498
41,1.54277,0.02,0.5611
42,1.5294,0.02,0.56294
43,1.50013,0.02,0.57428
44,1.48367,0.02,0.57576
45,1.47432,0.02,0.57876
46,1.44272,0.02,0.58738
47,1.43381,0.02,0.58794
48,1.41382,0.02,0.59416
49,1.40113,0.02,0.59684
50,1.38458,0.02,0.6001
51,1.36582,0.02,0.60454
52,1.34839,0.02,0.60876
53,1.33274,0.02,0.61392
54,1.32362,0.02,0.61352
55,1.29807,0.02,0.62096
56,1.28467,0.02,0.62634
57,1.27176,0.02,0.62934
58,1.26995,0.02,0.62868
59,1.25136,0.02,0.63248
60,1.2242,0.02,0.64058
61,0.71293,0.004,0.7942
62,0.51139,0.004,0.85458
63,0.4268,0.004,0.87822
64,0.36667,0.004,0.8955
65,0.3216,0.004,0.90676
66,0.29049,0.004,0.91684
67,0.26445,0.004,0.9251
68,0.24493,0.004,0.92908
69,0.23385,0.004,0.93388
70,0.2156,0.004,0.93862
71,0.21547,0.004,0.93758
72,0.20048,0.004,0.94178
73,0.19958,0.004,0.94358
74,0.19767,0.004,0.94418
75,0.20151,0.004,0.94064
76,0.19364,0.004,0.94306
77,0.19784,0.004,0.9419
78,0.19834,0.004,0.94242
79,0.20562,0.004,0.93868
80,0.20784,0.004,0.93802
81,0.21732,0.004,0.93362
82,0.21136,0.004,0.93784
83,0.20017,0.004,0.94018
84,0.21303,0.004,0.93622
85,0.21761,0.004,0.9336
86,0.21653,0.004,0.93506
87,0.21589,0.004,0.9354
88,0.22101,0.004,0.93392
89,0.2201,0.004,0.93448
90,0.22118,0.004,0.93298
91,0.23833,0.004,0.92712
92,0.23584,0.004,0.92836
93,0.23048,0.004,0.93016
94,0.22966,0.004,0.92952
95,0.23737,0.004,0.92904
96,0.23119,0.004,0.9301
97,0.24187,0.004,0.92646
98,0.23765,0.004,0.92808
99,0.2362,0.004,0.9291
100,0.24471,0.004,0.92586
