Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.06343,0.01,0.0872
2,3.53644,0.02,0.15812
3,3.19696,0.02,0.21774
4,2.93894,0.02,0.26128
5,2.75246,0.02,0.2984
6,2.61819,0.02,0.3259
7,2.50638,0.02,0.35014
8,2.40473,0.02,0.3701
9,2.32788,0.02,0.38776
10,2.25288,0.02,0.40158
11,2.19829,0.02,0.4143
12,2.14141,0.02,0.42674
13,2.09781,0.02,0.43652
14,2.05227,0.02,0.4473
15,2.01956,0.02,0.4532
16,1.98315,0.02,0.46208
17,1.95202,0.02,0.47094
18,1.9217,0.02,0.4781
19,1.90326,0.02,0.47946
20,1.86722,0.02,0.48792
21,1.85222,0.02,0.49082
22,1.81368,0.02,0.50206
23,1.80724,0.02,0.50124
24,1.78569,0.02,0.5079
25,1.76422,0.02,0.51146
26,1.74122,0.02,0.51702
27,1.73707,0.02,0.52004
28,1.71158,0.02,0.5232
29,1.69348,0.02,0.5285
30,1.67789,0.02,0.53024
31,1.65857,0.02,0.5372
32,1.64385,0.02,0.5382
33,1.63865,0.02,0.54128
34,1.61437,0.02,0.54666
35,1.61088,0.02,0.54892
36,1.59483,0.02,0.5518
37,1.5855,0.02,0.55094
38,1.57342,0.02,0.55696
39,1.56197,0.02,0.56046
40,1.55055,0.02,0.56356
41,1.5363,0.02,0.56584
42,1.51934,0.02,0.56952
43,1.51,0.02,0.57054
44,1.49822,0.02,0.57372
45,1.51001,0.02,0.57112
46,1.48972,0.02,0.57598
47,1.47446,0.02,0.5793
48,1.44848,0.02,0.5849
49,1.46592,0.02,0.5805
50,1.45082,0.02,0.58884
51,1.44156,0.02,0.59086
52,1.4238,0.02,0.59278
53,1.43025,0.02,0.59136
54,1.413,0.02,0.59486
55,1.4032,0.02,0.5984
56,1.39819,0.02,0.59878
57,1.40127,0.02,0.59778
58,1.3831,0.02,0.60146
59,1.37819,0.02,0.60094
60,1.37129,0.02,0.60548
61,0.92119,0.004,0.73312
62,0.751,0.004,0.77882
63,0.67875,0.004,0.80014
64,0.62085,0.004,0.81324
65,0.58449,0.004,0.8244
66,0.55421,0.004,0.83056
67,0.52071,0.004,0.84216
68,0.49057,0.004,0.84876
69,0.47835,0.004,0.85284
70,0.46541,0.004,0.85802
71,0.44413,0.004,0.86064
72,0.43254,0.004,0.86696
73,0.42844,0.004,0.86602
74,0.41585,0.004,0.87184
75,0.40754,0.004,0.8744
76,0.40109,0.004,0.87538
77,0.40187,0.004,0.87524
78,0.39585,0.004,0.87704
79,0.38255,0.004,0.87972
80,0.37732,0.004,0.88352
81,0.38612,0.004,0.87968
82,0.37563,0.004,0.88384
83,0.37919,0.004,0.88136
84,0.3728,0.004,0.88374
85,0.36498,0.004,0.88684
86,0.36548,0.004,0.88524
87,0.3696,0.004,0.8851
88,0.35748,0.004,0.88794
89,0.35795,0.004,0.88934
90,0.36464,0.004,0.88588
91,0.3556,0.004,0.89078
92,0.35551,0.004,0.88994
93,0.35576,0.004,0.8888
94,0.35003,0.004,0.89012
95,0.33708,0.004,0.89446
96,0.35479,0.004,0.8905
97,0.35443,0.004,0.89068
98,0.34404,0.004,0.89362
99,0.34927,0.004,0.8914
100,0.33772,0.004,0.89508
