Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.09554,0.01,0.08124
2,3.54972,0.02,0.15674
3,3.22337,0.02,0.20982
4,2.98043,0.02,0.25776
5,2.81751,0.02,0.28522
6,2.69754,0.02,0.31002
7,2.61542,0.02,0.32826
8,2.53665,0.02,0.34038
9,2.48613,0.02,0.35436
10,2.44454,0.02,0.36348
11,2.39304,0.02,0.3738
12,2.36002,0.02,0.3798
13,2.32853,0.02,0.38828
14,2.29283,0.02,0.39556
15,2.27403,0.02,0.39998
16,2.25955,0.02,0.40108
17,2.23227,0.02,0.40914
18,2.20972,0.02,0.41326
19,2.1849,0.02,0.41866
20,2.1796,0.02,0.41958
21,2.1609,0.02,0.4248
22,2.14258,0.02,0.4271
23,2.13234,0.02,0.43106
24,2.12248,0.02,0.43554
25,2.12208,0.02,0.43662
26,2.10274,0.02,0.43838
27,2.09879,0.02,0.438
28,2.08452,0.02,0.44226
29,2.07595,0.02,0.44322
30,2.06354,0.02,0.44496
31,2.06416,0.02,0.44772
32,2.05079,0.02,0.44934
33,2.05181,0.02,0.44996
34,2.03693,0.02,0.45458
35,2.02829,0.02,0.45582
36,2.03886,0.02,0.4527
37,2.02878,0.02,0.45482
38,2.02053,0.02,0.45766
39,2.01489,0.02,0.45898
40,2.01508,0.02,0.45832
41,2.00184,0.02,0.45796
42,2.00712,0.02,0.45882
43,1.99179,0.02,0.46094
44,1.99031,0.02,0.46338
45,1.9857,0.02,0.46518
46,1.97745,0.02,0.46658
47,1.98847,0.02,0.46582
48,1.97116,0.02,0.47006
49,1.97933,0.02,0.46616
50,1.97249,0.02,0.46892
51,1.96754,0.02,0.46998
52,1.95939,0.02,0.47012
53,1.96414,0.02,0.47284
54,1.95618,0.02,0.47204
55,1.94919,0.02,0.4736
56,1.95113,0.02,0.47246
57,1.95439,0.02,0.47192
58,1.95207,0.02,0.47314
59,1.95262,0.02,0.4722
60,1.9474,0.02,0.47202
61,1.50421,0.004,0.58102
62,1.37193,0.004,0.61122
63,1.31022,0.004,0.62498
64,1.28103,0.004,0.6353
65,1.24305,0.004,0.64342
66,1.22622,0.004,0.64416
67,1.19737,0.004,0.65368
68,1.19345,0.004,0.65398
69,1.17518,0.004,0.65774
70,1.18133,0.004,0.65612
71,1.15952,0.004,0.66084
72,1.15777,0.004,0.66032
73,1.14227,0.004,0.66544
74,1.14195,0.004,0.66566
75,1.12658,0.004,0.6697
76,1.11736,0.004,0.67222
77,1.11563,0.004,0.67176
78,1.11086,0.004,0.6738
79,1.09535,0.004,0.6775
80,1.0901,0.004,0.67838
81,1.08685,0.004,0.68156
82,1.07429,0.004,0.68186
83,1.067,0.004,0.685
84,1.0617,0.004,0.68784
85,1.04418,0.004,0.69006
86,1.05079,0.004,0.68814
87,1.03602,0.004,0.69178
88,1.02588,0.004,0.69462
89,1.02259,0.004,0.6957
90,1.01643,0.004,0.6965
91,1.003,0.004,0.7025
92,0.97955,0.004,0.70762
93,0.98025,0.004,0.70754
94,0.9676,0.004,0.71018
95,0.9715,0.004,0.70972
96,0.96353,0.004,0.71042
97,0.96564,0.004,0.70882
98,0.93593,0.004,0.71892
99,0.9362,0.004,0.71938
100,0.93268,0.004,0.71856
101,0.93177,0.004,0.71822
102,0.91084,0.004,0.72336
103,0.91176,0.004,0.7258
104,0.90214,0.004,0.72664
105,0.8903,0.004,0.73174
106,0.89075,0.004,0.73192
107,0.87783,0.004,0.73622
108,0.8666,0.004,0.73648
109,0.86858,0.004,0.73812
110,0.86215,0.004,0.73678
111,0.85123,0.004,0.7408
112,0.84407,0.004,0.74392
113,0.83869,0.004,0.74488
114,0.83699,0.004,0.74388
115,0.82703,0.004,0.75084
116,0.82631,0.004,0.74782
117,0.81027,0.004,0.75316
118,0.80831,0.004,0.75442
119,0.80721,0.004,0.75498
120,0.80454,0.004,0.75356
121,0.50783,0.0008,0.84982
122,0.39554,0.0008,0.88598
123,0.35329,0.0008,0.90026
124,0.3193,0.0008,0.91036
125,0.3058,0.0008,0.91418
126,0.28266,0.0008,0.9201
127,0.27241,0.0008,0.92406
128,0.25813,0.0008,0.92824
129,0.2432,0.0008,0.93268
130,0.22864,0.0008,0.9365
131,0.22787,0.0008,0.93652
132,0.21568,0.0008,0.94094
133,0.20833,0.0008,0.94246
134,0.20724,0.0008,0.9432
135,0.1957,0.0008,0.94682
136,0.1911,0.0008,0.94872
137,0.18848,0.0008,0.94878
138,0.18523,0.0008,0.94978
139,0.18219,0.0008,0.94972
140,0.17868,0.0008,0.95032
141,0.16891,0.0008,0.9538
142,0.16609,0.0008,0.9548
143,0.16928,0.0008,0.9535
144,0.16225,0.0008,0.9559
145,0.16151,0.0008,0.95668
146,0.15745,0.0008,0.95724
147,0.15611,0.0008,0.95678
148,0.15547,0.0008,0.95812
149,0.15113,0.0008,0.95908
150,0.1478,0.0008,0.95976
