Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.05595,0.1,0.08584
2,3.58525,0.2,0.1443
3,3.44468,0.2,0.16766
4,3.36412,0.2,0.18556
5,3.29098,0.2,0.19654
6,3.24387,0.2,0.20316
7,3.20289,0.2,0.21492
8,3.18844,0.2,0.21612
9,3.16966,0.2,0.21994
10,3.16008,0.2,0.2226
11,3.14546,0.2,0.22572
12,3.14311,0.2,0.22518
13,3.1334,0.2,0.22644
14,3.11572,0.2,0.22894
15,3.11587,0.2,0.23154
16,3.1069,0.2,0.2312
17,3.10883,0.2,0.22992
18,3.10024,0.2,0.23174
19,3.10426,0.2,0.23358
20,3.1067,0.2,0.23402
21,3.0898,0.2,0.23348
22,3.10241,0.2,0.23328
23,3.09643,0.2,0.2365
24,3.08621,0.2,0.23924
25,3.09983,0.2,0.23538
26,3.08667,0.2,0.23808
27,3.09227,0.2,0.23806
28,3.09886,0.2,0.23694
29,3.09459,0.2,0.2359
30,3.08507,0.2,0.23652
31,3.08426,0.2,0.24106
32,3.0905,0.2,0.2357
33,3.09048,0.2,0.23582
34,3.0938,0.2,0.23378
35,3.08853,0.2,0.23616
36,3.08277,0.2,0.23812
37,3.08639,0.2,0.23908
38,3.09249,0.2,0.23582
39,3.08849,0.2,0.23766
40,3.08758,0.2,0.23728
41,3.09279,0.2,0.23702
42,3.08967,0.2,0.23616
43,3.09461,0.2,0.23164
44,3.08833,0.2,0.23542
45,3.0917,0.2,0.23808
46,3.08631,0.2,0.23894
47,3.08801,0.2,0.23776
48,3.09759,0.2,0.23534
49,3.07632,0.2,0.23724
50,3.08884,0.2,0.23646
51,3.1017,0.2,0.23604
52,3.09335,0.2,0.2376
53,3.08545,0.2,0.23878
54,3.09209,0.2,0.23526
55,3.09535,0.2,0.23406
56,3.08894,0.2,0.2353
57,3.09792,0.2,0.23302
58,3.09387,0.2,0.23422
59,3.0925,0.2,0.23642
60,3.10396,0.2,0.23332
61,2.51547,0.04,0.34934
62,2.37985,0.04,0.37592
63,2.34201,0.04,0.3819
64,2.32969,0.04,0.38766
65,2.30764,0.04,0.39172
66,2.29299,0.04,0.39638
67,2.27618,0.04,0.39838
68,2.25398,0.04,0.40292
69,2.24278,0.04,0.40354
70,2.22496,0.04,0.41156
71,2.21188,0.04,0.41162
72,2.19623,0.04,0.41814
73,2.19131,0.04,0.4181
74,2.17851,0.04,0.41994
75,2.16182,0.04,0.42398
76,2.15287,0.04,0.4275
77,2.14659,0.04,0.42852
78,2.13183,0.04,0.43232
79,2.13303,0.04,0.4312
80,2.12308,0.04,0.43376
81,2.11527,0.04,0.4354
82,2.10153,0.04,0.43838
83,2.10102,0.04,0.43774
84,2.09559,0.04,0.44004
85,2.0911,0.04,0.44056
86,2.08497,0.04,0.44184
87,2.07759,0.04,0.4438
88,2.07857,0.04,0.44272
89,2.06502,0.04,0.44472
90,2.06525,0.04,0.44502
91,2.05746,0.04,0.44698
92,2.0604,0.04,0.4494
93,2.05377,0.04,0.44668
94,2.04289,0.04,0.4517
95,2.04749,0.04,0.45158
96,2.03992,0.04,0.452
97,2.043,0.04,0.45208
98,2.04144,0.04,0.45306
99,2.04047,0.04,0.45028
100,2.03261,0.04,0.45324
101,2.0215,0.04,0.4565
102,2.02618,0.04,0.45502
103,2.01912,0.04,0.45676
104,2.01579,0.04,0.4561
105,2.02056,0.04,0.45606
106,2.01505,0.04,0.45384
107,2.00913,0.04,0.45904
108,2.01251,0.04,0.4586
109,2.01404,0.04,0.45726
110,2.00526,0.04,0.46068
111,2.00614,0.04,0.46164
112,2.00015,0.04,0.46362
113,2.00106,0.04,0.46022
114,1.99614,0.04,0.46306
115,2.00096,0.04,0.46266
116,1.98711,0.04,0.46566
117,1.98805,0.04,0.46134
118,1.98958,0.04,0.4644
119,1.98129,0.04,0.46658
120,1.97374,0.04,0.46736
121,1.56862,0.008,0.56654
122,1.43597,0.008,0.59748
123,1.38793,0.008,0.60756
124,1.35244,0.008,0.6164
125,1.32204,0.008,0.62204
126,1.31089,0.008,0.62662
127,1.288,0.008,0.62902
128,1.26763,0.008,0.6338
129,1.25894,0.008,0.63544
130,1.2545,0.008,0.6385
131,1.25407,0.008,0.63772
132,1.23354,0.008,0.64602
133,1.22749,0.008,0.64512
134,1.22123,0.008,0.64554
135,1.22288,0.008,0.64446
136,1.20566,0.008,0.64994
137,1.20711,0.008,0.65002
138,1.19657,0.008,0.64858
139,1.18337,0.008,0.6551
140,1.18438,0.008,0.65298
141,1.18099,0.008,0.65514
142,1.15524,0.008,0.66374
143,1.16799,0.008,0.65876
144,1.15493,0.008,0.66166
145,1.14429,0.008,0.66412
146,1.13189,0.008,0.66504
147,1.12881,0.008,0.6675
148,1.12218,0.008,0.66986
149,1.11138,0.008,0.67176
150,1.10474,0.008,0.6738
