Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.65495,0.001,0.02576
2,4.16406,0.002,0.07508
3,3.77931,0.002,0.12468
4,3.53107,0.002,0.16152
5,3.36043,0.002,0.19284
6,3.22755,0.002,0.21508
7,3.08879,0.002,0.23574
8,2.97868,0.002,0.25568
9,2.89459,0.002,0.27502
10,2.7988,0.002,0.29218
11,2.74508,0.002,0.30264
12,2.70087,0.002,0.31516
13,2.69131,0.002,0.31442
14,2.57255,0.002,0.33546
15,2.48311,0.002,0.3534
16,2.42269,0.002,0.36654
17,2.35494,0.002,0.38004
18,2.30043,0.002,0.39526
19,2.25817,0.002,0.4001
20,2.20307,0.002,0.41428
21,2.17699,0.002,0.41798
22,2.1364,0.002,0.42722
23,2.09897,0.002,0.43406
24,2.0201,0.002,0.45358
25,1.98518,0.002,0.4608
26,1.9592,0.002,0.46498
27,1.90051,0.002,0.47912
28,1.85453,0.002,0.48902
29,1.81503,0.002,0.499
30,1.78525,0.002,0.50296
31,1.73759,0.002,0.51764
32,1.70438,0.002,0.52242
33,1.65412,0.002,0.53496
34,1.61691,0.002,0.54234
35,1.61819,0.002,0.54302
36,1.55871,0.002,0.5584
37,1.52887,0.002,0.56408
38,1.46472,0.002,0.57892
39,1.43371,0.002,0.58642
40,1.40726,0.002,0.59396
41,1.44345,0.002,0.5837
42,1.40069,0.002,0.59266
43,1.33244,0.002,0.61274
44,1.28121,0.002,0.62516
45,1.25396,0.002,0.63154
46,1.21352,0.002,0.63812
47,1.17967,0.002,0.65056
48,1.1526,0.002,0.65688
49,1.12546,0.002,0.66338
50,1.09463,0.002,0.67438
51,1.09919,0.002,0.67208
52,1.07252,0.002,0.67828
53,1.0209,0.002,0.69244
54,0.9869,0.002,0.7035
55,0.96021,0.002,0.70872
56,0.93023,0.002,0.71802
57,0.89754,0.002,0.7274
58,0.88698,0.002,0.7276
59,0.86146,0.002,0.73714
60,0.83818,0.002,0.7426
61,0.49849,0.0004,0.84786
62,0.37774,0.0004,0.88688
63,0.33586,0.0004,0.90008
64,0.30106,0.0004,0.9115
65,0.2782,0.0004,0.91804
66,0.25806,0.0004,0.9236
67,0.24914,0.0004,0.92776
68,0.2312,0.0004,0.93264
69,0.21471,0.0004,0.93944
70,0.21109,0.0004,0.93964
71,0.2031,0.0004,0.94166
72,0.1921,0.0004,0.945
73,0.18464,0.0004,0.94662
74,0.17835,0.0004,0.94994
75,0.17411,0.0004,0.9509
76,0.16456,0.0004,0.95342
77,0.16166,0.0004,0.95416
78,0.15819,0.0004,0.95504
79,0.15571,0.0004,0.95554
80,0.14593,0.0004,0.95948
81,0.14123,0.0004,0.96064
82,0.13514,0.0004,0.96308
83,0.13008,0.0004,0.96462
84,0.12623,0.0004,0.96492
85,0.12493,0.0004,0.96682
86,0.12426,0.0004,0.96634
87,0.11817,0.0004,0.9685
88,0.11867,0.0004,0.96782
89,0.11495,0.0004,0.96896
90,0.11399,0.0004,0.9686
91,0.1103,0.0004,0.97062
92,0.10896,0.0004,0.96988
93,0.10876,0.0004,0.97044
94,0.10169,0.0004,0.97224
95,0.10205,0.0004,0.9726
96,0.10144,0.0004,0.9724
97,0.09894,0.0004,0.97348
98,0.09437,0.0004,0.9748
99,0.09594,0.0004,0.97526
100,0.09676,0.0004,0.97406
101,0.09078,0.0004,0.976
102,0.09223,0.0004,0.97622
103,0.09125,0.0004,0.97546
104,0.08793,0.0004,0.97722
105,0.08735,0.0004,0.97754
106,0.08654,0.0004,0.977
107,0.08743,0.0004,0.97612
108,0.08456,0.0004,0.97674
109,0.08119,0.0004,0.97912
110,0.08085,0.0004,0.97914
111,0.07957,0.0004,0.97922
112,0.07795,0.0004,0.97948
113,0.08123,0.0004,0.97794
114,0.07675,0.0004,0.98064
115,0.08001,0.0004,0.9788
116,0.07578,0.0004,0.98086
117,0.07454,0.0004,0.98116
118,0.07398,0.0004,0.98168
119,0.07601,0.0004,0.9806
120,0.06951,0.0004,0.983
121,0.05827,8e-05,0.98634
122,0.05153,8e-05,0.98834
123,0.0492,8e-05,0.98908
124,0.04786,8e-05,0.98938
125,0.0449,8e-05,0.99016
126,0.04415,8e-05,0.99018
127,0.04325,8e-05,0.99012
128,0.04225,8e-05,0.99048
129,0.04085,8e-05,0.9913
130,0.0405,8e-05,0.99104
131,0.03927,8e-05,0.99174
132,0.03907,8e-05,0.99118
133,0.03808,8e-05,0.99258
134,0.03681,8e-05,0.99242
135,0.0371,8e-05,0.99208
136,0.03786,8e-05,0.99184
137,0.03678,8e-05,0.99198
138,0.03649,8e-05,0.99222
139,0.03663,8e-05,0.99222
140,0.03534,8e-05,0.99258
141,0.03643,8e-05,0.99228
142,0.03669,8e-05,0.99202
143,0.03454,8e-05,0.9928
144,0.03372,8e-05,0.99286
145,0.03484,8e-05,0.99246
146,0.03351,8e-05,0.993
147,0.03469,8e-05,0.9929
148,0.03348,8e-05,0.99288
149,0.03453,8e-05,0.99218
150,0.03386,8e-05,0.99282
