Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.63832,0.01,0.04576
2,4.01934,0.02,0.0922
3,3.56272,0.02,0.14892
4,3.34407,0.02,0.18466
5,3.15849,0.02,0.2226
6,3.23442,0.02,0.2077
7,3.04342,0.02,0.24494
8,2.96708,0.02,0.26008
9,3.0347,0.02,0.24618
10,2.98415,0.02,0.25672
11,2.83895,0.02,0.28284
12,2.75694,0.02,0.30024
13,2.70685,0.02,0.30984
14,2.66754,0.02,0.31844
15,2.60213,0.02,0.32904
16,2.55291,0.02,0.34236
17,2.51145,0.02,0.34726
18,2.4772,0.02,0.35854
19,2.43831,0.02,0.3623
20,2.41261,0.02,0.36936
21,2.37968,0.02,0.37712
22,2.35462,0.02,0.38182
23,2.3353,0.02,0.38644
24,2.30686,0.02,0.39154
25,2.29006,0.02,0.39376
26,2.26863,0.02,0.4003
27,2.24734,0.02,0.40442
28,2.23399,0.02,0.4089
29,2.21412,0.02,0.4134
30,2.20373,0.02,0.41318
31,2.18372,0.02,0.41802
32,2.16838,0.02,0.42198
33,2.15577,0.02,0.42328
34,2.15412,0.02,0.4246
35,2.13771,0.02,0.42946
36,2.11544,0.02,0.43308
37,2.12116,0.02,0.43288
38,2.10536,0.02,0.43436
39,2.09437,0.02,0.4369
40,2.07939,0.02,0.4436
41,2.08528,0.02,0.43884
42,2.07545,0.02,0.44412
43,2.06796,0.02,0.44368
44,2.05197,0.02,0.44964
45,2.05111,0.02,0.44962
46,2.04369,0.02,0.44884
47,2.04614,0.02,0.44838
48,2.02866,0.02,0.45216
49,2.03441,0.02,0.45172
50,2.01122,0.02,0.4588
51,2.01329,0.02,0.45772
52,2.00423,0.02,0.4594
53,2.00819,0.02,0.45852
54,1.99865,0.02,0.45776
55,2.00196,0.02,0.4614
56,1.9962,0.02,0.46032
57,1.98777,0.02,0.4625
58,1.98852,0.02,0.46448
59,1.9873,0.02,0.46454
60,1.975,0.02,0.46414
61,1.49595,0.004,0.58244
62,1.34451,0.004,0.61928
63,1.28572,0.004,0.63524
64,1.23651,0.004,0.64422
65,1.20355,0.004,0.653
66,1.17941,0.004,0.65686
67,1.16011,0.004,0.66246
68,1.14118,0.004,0.66798
69,1.12026,0.004,0.67162
70,1.10686,0.004,0.67574
71,1.09292,0.004,0.67916
72,1.08212,0.004,0.68242
73,1.07016,0.004,0.68126
74,1.06901,0.004,0.68516
75,1.05196,0.004,0.68742
76,1.03827,0.004,0.69092
77,1.02426,0.004,0.69558
78,1.01318,0.004,0.6991
79,0.99981,0.004,0.70204
80,0.99303,0.004,0.70432
81,0.97465,0.004,0.70766
82,0.96984,0.004,0.70842
83,0.95277,0.004,0.7149
84,0.94361,0.004,0.71686
85,0.9214,0.004,0.72274
86,0.92441,0.004,0.7208
87,0.89247,0.004,0.73116
88,0.88729,0.004,0.73278
89,0.87878,0.004,0.73388
90,0.85998,0.004,0.73998
91,0.84936,0.004,0.74146
92,0.83932,0.004,0.74374
93,0.83439,0.004,0.74738
94,0.81738,0.004,0.75064
95,0.79278,0.004,0.76008
96,0.79566,0.004,0.75704
97,0.76972,0.004,0.76466
98,0.77641,0.004,0.76184
99,0.76963,0.004,0.764
100,0.75922,0.004,0.76898
