Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,5.08656,0.1,0.0318
2,4.14554,0.2,0.0555
3,3.95309,0.2,0.08354
4,3.80511,0.2,0.10776
5,3.7063,0.2,0.12236
6,3.65048,0.2,0.13298
7,3.59652,0.2,0.14342
8,3.55422,0.2,0.14898
9,3.51047,0.2,0.15746
10,3.49608,0.2,0.16112
11,3.47757,0.2,0.16466
12,3.46188,0.2,0.16676
13,3.4519,0.2,0.1697
14,3.44201,0.2,0.17134
15,3.43425,0.2,0.17326
16,3.42811,0.2,0.17268
17,3.43007,0.2,0.17126
18,3.4209,0.2,0.1749
19,3.43059,0.2,0.17266
20,3.41701,0.2,0.17464
21,3.42298,0.2,0.17342
22,3.41582,0.2,0.17788
23,3.40826,0.2,0.17554
24,3.40282,0.2,0.17776
25,3.41351,0.2,0.175
26,3.41041,0.2,0.1769
27,3.40928,0.2,0.17684
28,3.39256,0.2,0.1819
29,3.38763,0.2,0.17974
30,3.38673,0.2,0.17988
31,3.38475,0.2,0.18186
32,3.39292,0.2,0.18092
33,3.39069,0.2,0.18086
34,3.38415,0.2,0.17892
35,3.39346,0.2,0.17984
36,3.39909,0.2,0.17892
37,3.38064,0.2,0.18028
38,3.38574,0.2,0.17904
39,3.37707,0.2,0.18132
40,3.3912,0.2,0.1799
41,3.38406,0.2,0.18086
42,3.3873,0.2,0.1792
43,3.38677,0.2,0.18058
44,3.37787,0.2,0.18252
45,3.39412,0.2,0.1801
46,3.39134,0.2,0.17874
47,3.38338,0.2,0.17946
48,3.38659,0.2,0.18208
49,3.38264,0.2,0.18234
50,3.39369,0.2,0.18106
51,3.38681,0.2,0.179
52,3.39231,0.2,0.17884
53,3.39371,0.2,0.1779
54,3.39594,0.2,0.17884
55,3.39639,0.2,0.17776
56,3.40108,0.2,0.17696
57,3.4103,0.2,0.17688
58,3.39731,0.2,0.17686
59,3.39742,0.2,0.17852
60,3.40374,0.2,0.17714
61,2.87141,0.04,0.27626
62,2.74532,0.04,0.29792
63,2.70771,0.04,0.30542
64,2.69579,0.04,0.30868
65,2.67405,0.04,0.31168
66,2.65286,0.04,0.31506
67,2.6319,0.04,0.32304
68,2.61145,0.04,0.32486
69,2.59464,0.04,0.33188
70,2.58016,0.04,0.33346
71,2.56253,0.04,0.33706
72,2.54339,0.04,0.34026
73,2.52829,0.04,0.34592
74,2.51446,0.04,0.3488
75,2.50635,0.04,0.35028
76,2.49614,0.04,0.35042
77,2.47745,0.04,0.35518
78,2.46566,0.04,0.35756
79,2.44366,0.04,0.36146
80,2.43594,0.04,0.36628
81,2.421,0.04,0.36472
82,2.41894,0.04,0.36804
83,2.4154,0.04,0.36788
84,2.3971,0.04,0.37358
85,2.38348,0.04,0.37636
86,2.38621,0.04,0.37664
87,2.36887,0.04,0.3804
88,2.36239,0.04,0.3803
89,2.35654,0.04,0.38172
90,2.34169,0.04,0.3849
91,2.34678,0.04,0.38488
92,2.32748,0.04,0.38872
93,2.32272,0.04,0.38782
94,2.31011,0.04,0.39406
95,2.30204,0.04,0.3926
96,2.30198,0.04,0.3953
97,2.29043,0.04,0.39302
98,2.28074,0.04,0.39786
99,2.27366,0.04,0.39948
100,2.26074,0.04,0.4027
