Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.09113,0.01,0.0838
2,3.52904,0.02,0.1597
3,3.18236,0.02,0.2187
4,2.93508,0.02,0.266
5,2.75593,0.02,0.29774
6,2.60227,0.02,0.32792
7,2.50063,0.02,0.35006
8,2.40173,0.02,0.37156
9,2.32234,0.02,0.38616
10,2.25359,0.02,0.4033
11,2.19243,0.02,0.4148
12,2.14331,0.02,0.42626
13,2.09725,0.02,0.43764
14,2.05284,0.02,0.44674
15,2.01712,0.02,0.4532
16,1.99014,0.02,0.45794
17,1.9532,0.02,0.4689
18,1.92928,0.02,0.47636
19,1.90518,0.02,0.47892
20,1.87292,0.02,0.48758
21,1.85087,0.02,0.49172
22,1.83045,0.02,0.49708
23,1.81892,0.02,0.49944
24,1.78437,0.02,0.5068
25,1.76636,0.02,0.51266
26,1.74854,0.02,0.51464
27,1.73245,0.02,0.5194
28,1.71263,0.02,0.52372
29,1.69978,0.02,0.52786
30,1.67838,0.02,0.53288
31,1.66702,0.02,0.53644
32,1.65732,0.02,0.53624
33,1.63801,0.02,0.54216
34,1.62096,0.02,0.5459
35,1.61215,0.02,0.54744
36,1.59916,0.02,0.54884
37,1.58615,0.02,0.55396
38,1.57359,0.02,0.55674
39,1.57059,0.02,0.55836
40,1.54724,0.02,0.56264
41,1.53872,0.02,0.56576
42,1.53372,0.02,0.56668
43,1.51552,0.02,0.57034
44,1.50828,0.02,0.5715
45,1.49668,0.02,0.57368
46,1.48777,0.02,0.5786
47,1.48344,0.02,0.57466
48,1.47554,0.02,0.57846
49,1.46042,0.02,0.58288
50,1.45921,0.02,0.5844
51,1.44753,0.02,0.5859
52,1.44139,0.02,0.58646
53,1.42592,0.02,0.59058
54,1.41472,0.02,0.59122
55,1.41451,0.02,0.59334
56,1.40262,0.02,0.59574
57,1.39593,0.02,0.59824
58,1.38657,0.02,0.59844
59,1.3805,0.02,0.6024
60,1.37351,0.02,0.605
61,0.93144,0.004,0.72914
62,0.76109,0.004,0.77336
63,0.68256,0.004,0.79754
64,0.63276,0.004,0.81118
65,0.58928,0.004,0.82206
66,0.56305,0.004,0.82956
67,0.52862,0.004,0.83936
68,0.50466,0.004,0.84616
69,0.48038,0.004,0.853
70,0.4594,0.004,0.85854
71,0.4568,0.004,0.85966
72,0.44778,0.004,0.86096
73,0.44406,0.004,0.8626
74,0.42301,0.004,0.8713
75,0.41216,0.004,0.87236
76,0.4149,0.004,0.87158
77,0.39917,0.004,0.87506
78,0.39429,0.004,0.87676
79,0.39071,0.004,0.87824
80,0.39392,0.004,0.87676
81,0.3899,0.004,0.87798
82,0.37702,0.004,0.88406
83,0.37353,0.004,0.8818
84,0.38353,0.004,0.88066
85,0.37032,0.004,0.88458
86,0.37782,0.004,0.8821
87,0.3676,0.004,0.88618
88,0.36637,0.004,0.88612
89,0.37095,0.004,0.8864
90,0.36722,0.004,0.887
91,0.35541,0.004,0.88998
92,0.35793,0.004,0.8894
93,0.36336,0.004,0.88694
94,0.35319,0.004,0.893
95,0.35377,0.004,0.88996
96,0.35039,0.004,0.89164
97,0.34094,0.004,0.89414
98,0.35191,0.004,0.89016
99,0.34536,0.004,0.8944
100,0.35226,0.004,0.8911
101,0.34694,0.004,0.89168
102,0.34148,0.004,0.89452
103,0.33819,0.004,0.89458
104,0.34116,0.004,0.89416
105,0.33877,0.004,0.8961
106,0.33353,0.004,0.8951
107,0.34062,0.004,0.89398
108,0.32813,0.004,0.89836
109,0.33992,0.004,0.89326
110,0.33622,0.004,0.89786
111,0.31847,0.004,0.90016
112,0.32529,0.004,0.89992
113,0.32412,0.004,0.8994
114,0.30765,0.004,0.90602
115,0.32612,0.004,0.8984
116,0.32109,0.004,0.9018
117,0.31497,0.004,0.90274
118,0.31216,0.004,0.90446
119,0.31628,0.004,0.9022
120,0.30378,0.004,0.9079
121,0.15849,0.0008,0.95548
122,0.10374,0.0008,0.974
123,0.08767,0.0008,0.97876
124,0.07604,0.0008,0.98202
125,0.06991,0.0008,0.98404
126,0.0629,0.0008,0.98576
127,0.05889,0.0008,0.9867
128,0.05966,0.0008,0.98672
129,0.05479,0.0008,0.9874
130,0.05122,0.0008,0.98866
131,0.04913,0.0008,0.98966
132,0.04945,0.0008,0.98958
133,0.0456,0.0008,0.99002
134,0.04319,0.0008,0.99108
135,0.04273,0.0008,0.99104
136,0.04076,0.0008,0.99154
137,0.04116,0.0008,0.99142
138,0.03978,0.0008,0.99134
139,0.03878,0.0008,0.99242
140,0.03699,0.0008,0.9924
141,0.03586,0.0008,0.99314
142,0.03642,0.0008,0.99238
143,0.03545,0.0008,0.99312
144,0.03467,0.0008,0.9927
145,0.03414,0.0008,0.99294
146,0.03553,0.0008,0.99264
147,0.03253,0.0008,0.99412
148,0.03113,0.0008,0.99462
149,0.03244,0.0008,0.99364
150,0.0298,0.0008,0.99454
