Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,5.07794,0.1,0.02874
2,4.29746,0.2,0.0411
3,4.18889,0.2,0.05336
4,4.18956,0.2,0.0517
5,4.19066,0.2,0.05302
6,4.19353,0.2,0.05294
7,4.20166,0.2,0.04958
8,4.23136,0.2,0.0438
9,4.18562,0.2,0.04916
10,4.20427,0.2,0.04776
11,4.21733,0.2,0.04516
12,4.22209,0.2,0.04724
13,4.2143,0.2,0.0437
14,4.21905,0.2,0.04512
15,4.21804,0.2,0.0448
16,4.21994,0.2,0.04266
17,4.21533,0.2,0.04482
18,4.27289,0.2,0.03754
19,4.27893,0.2,0.0363
20,4.27801,0.2,0.03692
21,4.27071,0.2,0.0369
22,4.36124,0.2,0.0301
23,4.35999,0.2,0.03106
24,4.35736,0.2,0.03092
25,4.3623,0.2,0.031
26,4.35611,0.2,0.03026
27,4.36038,0.2,0.03078
28,4.35676,0.2,0.03136
29,4.35491,0.2,0.03122
30,4.36657,0.2,0.03024
31,4.36406,0.2,0.03018
32,4.36364,0.2,0.03074
33,4.35842,0.2,0.03076
34,4.35551,0.2,0.0301
35,4.35633,0.2,0.03164
36,4.35389,0.2,0.02952
37,4.35816,0.2,0.03118
38,4.35705,0.2,0.0308
39,4.35736,0.2,0.032
40,4.36968,0.2,0.02946
41,4.35462,0.2,0.02942
42,4.35831,0.2,0.03042
43,4.36993,0.2,0.02914
44,4.35168,0.2,0.03058
45,4.35402,0.2,0.03212
46,4.36001,0.2,0.02946
47,4.36507,0.2,0.03012
48,4.3629,0.2,0.03052
49,4.37101,0.2,0.02986
50,4.35343,0.2,0.0305
51,4.36341,0.2,0.0312
52,4.35515,0.2,0.02966
53,4.36388,0.2,0.03142
54,4.35296,0.2,0.02976
55,4.36399,0.2,0.02994
56,4.357,0.2,0.03084
57,4.36393,0.2,0.03082
58,4.35816,0.2,0.03014
59,4.36231,0.2,0.0301
60,4.36681,0.2,0.03008
61,4.21573,0.04,0.04
62,4.19922,0.04,0.04018
63,4.19793,0.04,0.0424
64,4.18991,0.04,0.0426
65,4.18828,0.04,0.04366
66,4.18872,0.04,0.04138
67,4.18068,0.04,0.0422
68,4.17518,0.04,0.04222
69,4.1696,0.04,0.0429
70,4.16458,0.04,0.04412
71,4.16249,0.04,0.04412
72,4.15857,0.04,0.0428
73,4.1616,0.04,0.04268
74,4.15696,0.04,0.04418
75,4.15455,0.04,0.04402
76,4.15249,0.04,0.044
77,4.15331,0.04,0.04416
78,4.14999,0.04,0.04546
79,4.15363,0.04,0.04216
80,4.14718,0.04,0.0444
81,4.14451,0.04,0.04414
82,4.14412,0.04,0.04486
83,4.14278,0.04,0.04438
84,4.14174,0.04,0.04434
85,4.14314,0.04,0.04412
86,4.14323,0.04,0.04374
87,4.14751,0.04,0.04466
88,4.14204,0.04,0.04568
89,4.14081,0.04,0.04476
90,4.14283,0.04,0.04526
91,4.1401,0.04,0.04544
92,4.13759,0.04,0.04674
93,4.13854,0.04,0.04476
94,4.13992,0.04,0.04536
95,4.14092,0.04,0.04614
96,4.14031,0.04,0.04578
97,4.13961,0.04,0.0446
98,4.14162,0.04,0.04484
99,4.14042,0.04,0.04396
100,4.13292,0.04,0.04342
101,4.13707,0.04,0.04638
102,4.13414,0.04,0.0446
103,4.13716,0.04,0.045
104,4.13114,0.04,0.04524
105,4.13417,0.04,0.0453
106,4.13615,0.04,0.04512
107,4.13089,0.04,0.04542
108,4.13154,0.04,0.04704
109,4.13579,0.04,0.04434
110,4.13562,0.04,0.04724
111,4.13823,0.04,0.04374
112,4.13141,0.04,0.04576
113,4.13418,0.04,0.04592
114,4.13261,0.04,0.04566
115,4.1327,0.04,0.04566
116,4.13032,0.04,0.0458
117,4.13022,0.04,0.04472
118,4.13397,0.04,0.04548
119,4.13531,0.04,0.04506
120,4.12989,0.04,0.04568
121,4.04139,0.008,0.0538
122,4.0298,0.008,0.0564
123,4.02278,0.008,0.05498
124,4.02638,0.008,0.05502
125,4.02387,0.008,0.05614
126,4.02215,0.008,0.05642
127,4.02268,0.008,0.05534
128,4.02386,0.008,0.0555
129,4.02606,0.008,0.05678
130,4.01895,0.008,0.05388
131,4.01979,0.008,0.05444
132,4.01474,0.008,0.05648
133,4.01943,0.008,0.05576
134,4.01824,0.008,0.0556
135,4.01335,0.008,0.05632
136,4.01251,0.008,0.05618
137,4.01304,0.008,0.05606
138,4.01464,0.008,0.0582
139,4.01497,0.008,0.05562
140,4.01174,0.008,0.05766
141,4.01082,0.008,0.05604
142,4.01249,0.008,0.05624
143,4.00545,0.008,0.0574
144,4.00657,0.008,0.05764
145,4.00827,0.008,0.05764
146,4.00893,0.008,0.05712
147,4.00466,0.008,0.0568
148,4.00688,0.008,0.05502
149,4.00755,0.008,0.05706
150,4.00661,0.008,0.05842
