Epoch,TrainingLoss,LearningRate,TrainingAccuracy
1,4.7084,0.001,0.01798
2,4.26496,0.002,0.0591
3,3.9048,0.002,0.09876
4,3.65885,0.002,0.1386
5,3.49473,0.002,0.1637
6,3.34931,0.002,0.1887
7,3.22076,0.002,0.21182
8,3.12854,0.002,0.22918
9,3.03103,0.002,0.24786
10,2.93707,0.002,0.26506
11,2.86107,0.002,0.27938
12,2.78592,0.002,0.29204
13,2.71982,0.002,0.3081
14,2.65885,0.002,0.32192
15,2.59182,0.002,0.33246
16,2.53933,0.002,0.3394
17,2.47529,0.002,0.35532
18,2.41351,0.002,0.36944
19,2.36104,0.002,0.38168
20,2.31124,0.002,0.39106
21,2.26971,0.002,0.40018
22,2.221,0.002,0.4075
23,2.16422,0.002,0.42182
24,2.1197,0.002,0.43288
25,2.07047,0.002,0.44076
26,2.02958,0.002,0.4523
27,1.9725,0.002,0.46352
28,1.92385,0.002,0.47114
29,1.87674,0.002,0.48338
30,1.84512,0.002,0.49006
31,1.79522,0.002,0.50172
32,1.74016,0.002,0.51438
33,1.70302,0.002,0.52296
34,1.65799,0.002,0.53142
35,1.6169,0.002,0.54338
36,1.5749,0.002,0.55322
37,1.5389,0.002,0.56034
38,1.4827,0.002,0.57596
39,1.44501,0.002,0.5829
40,1.41315,0.002,0.5906
41,1.37395,0.002,0.60156
42,1.32154,0.002,0.6152
43,1.28579,0.002,0.61866
44,1.24711,0.002,0.63388
45,1.1939,0.002,0.64696
46,1.16085,0.002,0.65572
47,1.12507,0.002,0.66344
48,1.11716,0.002,0.667
49,1.05907,0.002,0.68304
50,1.01067,0.002,0.69358
51,0.97504,0.002,0.70464
52,0.9579,0.002,0.70858
53,0.90822,0.002,0.72208
54,0.87484,0.002,0.73334
55,0.83954,0.002,0.74358
56,0.81328,0.002,0.74884
57,0.77995,0.002,0.76158
58,0.75121,0.002,0.76818
59,0.71742,0.002,0.77914
60,0.69502,0.002,0.78402
61,0.41325,0.0004,0.87794
62,0.31693,0.0004,0.908
63,0.28641,0.0004,0.91754
64,0.25963,0.0004,0.92694
65,0.23888,0.0004,0.93384
66,0.22821,0.0004,0.93686
67,0.21377,0.0004,0.94106
68,0.20398,0.0004,0.944
69,0.19438,0.0004,0.9469
70,0.18606,0.0004,0.94868
71,0.18218,0.0004,0.95082
72,0.17434,0.0004,0.95266
73,0.16651,0.0004,0.95562
74,0.16361,0.0004,0.95694
75,0.15616,0.0004,0.95888
76,0.1526,0.0004,0.96032
77,0.14586,0.0004,0.96116
78,0.14024,0.0004,0.96412
79,0.14057,0.0004,0.96294
80,0.13109,0.0004,0.96636
81,0.13126,0.0004,0.96514
82,0.12846,0.0004,0.96602
83,0.12397,0.0004,0.96768
84,0.12141,0.0004,0.96826
85,0.11863,0.0004,0.9689
86,0.11821,0.0004,0.9685
87,0.11368,0.0004,0.97084
88,0.11162,0.0004,0.9711
89,0.10816,0.0004,0.9722
90,0.10867,0.0004,0.97172
91,0.10358,0.0004,0.97346
92,0.10163,0.0004,0.974
93,0.10089,0.0004,0.97532
94,0.09964,0.0004,0.97486
95,0.09582,0.0004,0.9762
96,0.09741,0.0004,0.97506
97,0.09637,0.0004,0.97562
98,0.09216,0.0004,0.97764
99,0.08946,0.0004,0.9782
100,0.08981,0.0004,0.97742
